id;topic;severity;category;audit_type;control_type;info;solution;reference;see_also;cmd;expect;scope
706;ulimit enforced no login;Media;Privilegios e recursos;CMD_EXEC;CMD_EXEC;PAM limits deve ser carregado em sessoes de login.;Garantir pam_limits.so em common-session/common-session-noninteractive.;Baseline Ubuntu 24.04 VDI - Privilégios e limites.;https://man7.org/linux/man-pages/man8/pam.8.html;grep -REq '^[[:space:]]*session[[:space:]]+required[[:space:]]+pam_limits\\.so' /etc/pam.d/common-session /etc/pam.d/common-session-noninteractive 2>/dev/null && echo PASS || echo FAIL;(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
801;Audit /etc/ld.so.conf changes;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;Alteracoes em caminhos de bibliotecas devem ser auditadas.;Adicionar regra auditd para /etc/ld.so.conf e /etc/ld.so.conf.d.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""(/etc/ld\\.so\\.conf|ld_so_conf)\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
802;Audit /lib*/ld*.so.*;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;Dynamic loader deve ter trilha de auditoria.;Adicionar regra auditd para dynamic loader quando o controle for operacionalmente necessario.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""ld.*\\.so|dynamic_loader\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
803;Audit /boot ou /efi;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;Bootloader deve ser monitorado contra tamper.;Adicionar regra auditd para /boot e /boot/efi.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE -- \""-w[[:space:]]+/(boot|boot/efi)|boot\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
804;Immutable flag em audit rules;Media;Integridade e boot;CMD_EXEC;CMD_EXEC;Regras auditd devem ser imutaveis em runtime quando politica exigir.;Adicionar -e 2 apos validacao das regras, ou registrar excecao operacional.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'auditctl -s 2>/dev/null | grep -Eq \""enabled[[:space:]]+2\"" || grep -REq \""^-e[[:space:]]+2\"" /etc/audit/rules.d 2>/dev/null; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
805;ASLR ativo;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;ASLR completo dificulta exploracao.;Configurar kernel.randomize_va_space=2.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n kernel.randomize_va_space;^2$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
806;dmesg restrito;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;dmesg deve ser restrito a usuarios privilegiados.;Configurar kernel.dmesg_restrict=1.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n kernel.dmesg_restrict;^1$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
807;kptr restrito;Alta;Integridade e boot;CMD_EXEC;CMD_EXEC;Exposicao de ponteiros de kernel deve ser restringida.;Configurar kernel.kptr_restrict=2.;Baseline Ubuntu 24.04 VDI - Integridade por pacote, boot e auditd.;https://man7.org/linux/man-pages/man8/sysctl.8.html;sysctl -n kernel.kptr_restrict;^2$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
902;Audit failed execve syscalls;Alta;Auditoria;CMD_EXEC;CMD_EXEC;Execucoes negadas devem ser auditadas.;Adicionar regra auditd para execve com EACCES/EPERM.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""execve.*(EACCES|EPERM)|(EACCES|EPERM).*execve\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
903;Audit mmap PROT_EXEC em /tmp;Alta;Auditoria;CMD_EXEC;EVIDENCE;Execucao dinamica em /tmp deve ser detectavel.;Adicionar regra auditd/eBPF/EDR equivalente ou registrar evidencia do controle.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""mmap.*PROT_EXEC.*tmp|tmp_exec\"" /etc/audit/rules.d 2>/dev/null | grep -q . || test -f /etc/vdi-hardening/evidence/edr-mmap-tmp; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
904;Audit mmap PROT_EXEC na home;Alta;Auditoria;CMD_EXEC;EVIDENCE;Execucao dinamica na home deve ser detectavel.;Adicionar regra/evidencia de EDR para mmap PROT_EXEC em /home.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""mmap.*PROT_EXEC.*home|home_exec\"" /etc/audit/rules.d 2>/dev/null | grep -q . || test -f /etc/vdi-hardening/evidence/edr-mmap-home; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
905;Audit open files em passwd shadow;Alta;Auditoria;CMD_EXEC;CMD_EXEC;Acesso a bases de identidade deve ser auditado.;Adicionar regras auditd para /etc/passwd e /etc/shadow.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""(/etc/passwd|/etc/shadow)\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
906;Audit module load/unload;Alta;Auditoria;CMD_EXEC;CMD_EXEC;Carga/remocao de modulos deve ser auditada.;Adicionar regras auditd para init_module/delete_module/finit_module e modprobe.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""init_module|delete_module|finit_module|modprobe\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
907;Audit syscalls criticos;Alta;Auditoria;CMD_EXEC;CMD_EXEC;setuid/setgid devem ser rastreados conforme baseline.;Adicionar regras auditd para setuid/setgid quando auditd for o controle adotado.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c 'grep -RE \""setuid|setgid\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
908;Audit /etc/sudoers changes;Alta;Auditoria;CMD_EXEC;CMD_EXEC;Mudancas em politica sudo devem ser auditadas.;Adicionar regras auditd para /etc/sudoers e /etc/sudoers.d.;Baseline Ubuntu 24.04 VDI - Auditoria acionável e baixo ruído.;https://man7.org/linux/man-pages/man8/sudo.8.html;"sh -c 'grep -RE \""(/etc/sudoers|/etc/sudoers\\.d|sudoers)\"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1001;AppArmor ativo;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Mandatory Access Control deve estar ativo.;Instalar e habilitar apparmor.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://documentation.ubuntu.com/server/how-to/security/apparmor/;sh -c 'aa-enabled >/dev/null 2>&1 && systemctl is-active apparmor >/dev/null 2>&1 && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1002;auditd ativo e persistente;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Auditd deve iniciar no boot.;Instalar e habilitar auditd.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://man7.org/linux/man-pages/man8/auditd.8.html;sh -c 'systemctl is-active auditd >/dev/null 2>&1 && systemctl is-enabled auditd >/dev/null 2>&1 && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1003;rsyslog ativo;Alta;Servicos base;CMD_EXEC;CMD_EXEC;rsyslog deve estar ativo para logs classicos.;Instalar e habilitar rsyslog.;Baseline Ubuntu 24.04 VDI - Serviços base.;;sh -c 'systemctl is-active rsyslog >/dev/null 2>&1 && systemctl is-enabled rsyslog >/dev/null 2>&1 && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1004;journald ativo;Alta;Servicos base;CMD_EXEC;CMD_EXEC;journald deve estar ativo e persistente.;Configurar Storage=persistent em journald.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://www.freedesktop.org/software/systemd/man/latest/journald.conf.html;"sh -c 'systemctl is-active systemd-journald >/dev/null 2>&1 && grep -REiq \""^[[:space:]]*Storage[[:space:]]*=[[:space:]]*persistent\"" /etc/systemd/journald.conf /etc/systemd/journald.conf.d 2>/dev/null && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1005;SSH ativo com PasswordAuthentication=no;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Quando SSH for usado, deve aceitar somente chave publica.;Habilitar ssh apenas se necessario e manter PasswordAuthentication no.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://man.openbsd.org/sshd_config;"sh -c 'if systemctl is-enabled ssh >/dev/null 2>&1; then sshd -T 2>/dev/null | grep -Eiq \""^passwordauthentication[[:space:]]+no$\"" && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1007;libpam-pwquality instalado;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Complexidade de senha deve ser validada quando houver senha local.;Instalar libpam-pwquality e configurar pwquality.conf.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://man7.org/linux/man-pages/man8/pam.8.html;sh -c 'dpkg -s libpam-pwquality >/dev/null 2>&1 && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1009;Sem servicos legados;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Telnet, rsh, rlogin, tftp e similares devem estar ausentes.;Purgar pacotes legados de rede.;Baseline Ubuntu 24.04 VDI - Serviços base.;https://manpages.ubuntu.com/manpages/noble/man8/apt.8.html;"sh -c 'dpkg-query -W -f=\""${binary:Package} ${Status}\\n\"" telnetd inetutils-telnet rsh-client rsh-server rlogin talk talkd tftpd-hpa vsftpd 2>/dev/null | grep -q \""install ok installed\"" && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1010;Sem servicos indevidos escutando;Alta;Servicos base;CMD_EXEC;CMD_EXEC;Portas comuns indevidas nao devem estar em listen.;Desabilitar servicos desnecessarios ou registrar excecao aprovada.;Baseline Ubuntu 24.04 VDI - Serviços base.;;"sh -c 'ss -lnt 2>/dev/null | awk \""NR>1{print \\$4}\"" | grep -E \"":(21|23|25|80|389)$\"" >/dev/null && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1101;Bluetooth desabilitado;Alta;Pacotes e repositorios;CMD_EXEC;CMD_EXEC;Bluetooth deve estar desabilitado.;Desabilitar e mascarar bluetooth se presente.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;;"sh -c 'systemctl is-enabled bluetooth 2>/dev/null | grep -Eq \""^(enabled|static)$\"" && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1102;CUPS desabilitado;Alta;Pacotes e repositorios;CMD_EXEC;CMD_EXEC;Servico de impressao local deve estar desabilitado quando nao aprovado.;Desabilitar cups.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;;"sh -c 'systemctl is-enabled cups 2>/dev/null | grep -Eq \""^(enabled|static)$\"" && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1103;avahi-daemon desabilitado;Media;Pacotes e repositorios;CMD_EXEC;CMD_EXEC;Descoberta mDNS deve estar desabilitada.;Desabilitar avahi-daemon.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;;"sh -c 'systemctl is-enabled avahi-daemon 2>/dev/null | grep -Eq \""^(enabled|static)$\"" && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1104;postfix desabilitado;Media;Pacotes e repositorios;CMD_EXEC;CMD_EXEC;MTA local nao deve atuar como relay.;Remover/desabilitar postfix ou restringir a loopback quando aprovado.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;;"sh -c 'systemctl is-enabled postfix 2>/dev/null | grep -Eq \""^(enabled|static)$\"" && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1105;LDAP server ausente;Media;Pacotes e repositorios;CMD_EXEC;CMD_EXEC;Servidor LDAP local nao deve estar instalado.;Remover slapd/openldap server.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;https://manpages.ubuntu.com/manpages/noble/man8/apt.8.html;sh -c 'dpkg -s slapd >/dev/null 2>&1 && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1106;USB redirection desabilitado;Media;Pacotes e repositorios;CMD_EXEC;EVIDENCE;Redirecionamento USB deve ser bloqueado por modulo ou policy Citrix.;Bloquear usb_storage e/ou registrar policy Citrix em evidencia.;Baseline Ubuntu 24.04 VDI - Repositórios e pacotes aprovados.;https://man7.org/linux/man-pages/man8/modprobe.8.html;"sh -c '(modprobe -n -v usb_storage 2>/dev/null | grep -Eq \""install[[:space:]]+/bin/(false|true)\"") || test -f /etc/vdi-hardening/evidence/citrix-usb-redirection-disabled; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1201;gcc/make instalados;Media;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;Toolchain C/C++ deve estar disponivel sem conceder sudo a dev.;Instalar build-essential/gcc/g++/make e manter devs fora de sudo.;Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;https://man7.org/linux/man-pages/man8/sudo.8.html;"sh -c 'command -v gcc >/dev/null 2>&1 && command -v make >/dev/null 2>&1 || exit 1; for u in $(getent group vdi-devs 2>/dev/null | cut -d: -f4 | tr , \"" \""); do id -nG \""$u\"" 2>/dev/null | grep -Eq \""(^| )sudo( |$)\"" && exit 1; done; echo PASS' || echo FAIL";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1202;python runtime instalado;Media;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;"Python 3 deve existir; pip global deve ser bloqueado.";Instalar python3/python3-venv/pipx e configurar require-virtualenv.;Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;https://manpages.ubuntu.com/manpages/noble/man8/apt.8.html;"sh -c 'command -v python3 >/dev/null 2>&1 && dpkg -s python3-venv pipx >/dev/null 2>&1 && grep -Eiq \""^[[:space:]]*require-virtualenv[[:space:]]*=[[:space:]]*true\"" /etc/pip.conf /etc/xdg/pip/pip.conf 2>/dev/null && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1203;Java JDK instalado;Media;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;JDK Java deve estar disponivel para desenvolvimento.;Instalar default-jdk e manter maven/gradle sem sudo.;Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;;sh -c 'command -v javac >/dev/null 2>&1 && (command -v mvn >/dev/null 2>&1 || command -v gradle >/dev/null 2>&1) && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1204;Docker instalado com restricoes;Alta;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;Docker deve ser rootless/restrito.;Instalar Docker/rootless deps, desabilitar docker rootful e manter grupo docker vazio.;Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;https://docs.docker.com/engine/security/rootless/;"sh -c 'dpkg -s docker.io uidmap rootlesskit >/dev/null 2>&1 && ! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled && ( ! getent group docker >/dev/null || [ -z \""$(getent group docker | cut -d: -f4)\"" ] ) && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1205;AWS CLI instalado;Media;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;AWS CLI deve estar instalado para uso com SSO/STS.;Instalar awscli e orientar uso de credenciais temporarias.;Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;;command -v aws >/dev/null 2>&1 && echo PASS || echo FAIL;(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1206;Sem credenciais cloud locais;Alta;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;Nao deve haver access keys permanentes em arquivos locais.;"Usar AWS SSO/STS e Azure device login/Managed Identity; remover long-lived keys.";Baseline Ubuntu 24.04 VDI - Toolchain, cloud e credenciais temporárias.;;"sh -c 'grep -RE \""aws_access_key_id|aws_secret_access_key|client_secret|AZURE_CLIENT_SECRET\"" /home/*/.aws /home/*/.azure 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1301;Copy/paste restringido entre sessoes;Media;Citrix e operacao;CMD_EXEC;EVIDENCE;Restricao de clipboard entre sessoes depende de Citrix policy.;Aplicar policy Citrix e registrar evidencia local.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;https://docs.citrix.com/;sh -c 'test -f /etc/vdi-hardening/evidence/citrix-copy-paste-restricted && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1302;Clipboard sync desabilitado com host;Baixa;Citrix e operacao;CMD_EXEC;EVIDENCE;Sincronizacao de clipboard com host deve estar desabilitada por Citrix policy.;Aplicar policy Citrix e registrar evidencia local.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;https://docs.citrix.com/;sh -c 'test -f /etc/vdi-hardening/evidence/citrix-clipboard-sync-disabled && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1303;Drive mapping local desabilitado;Media;Citrix e operacao;CMD_EXEC;EVIDENCE;Mapeamento de drives locais deve ser bloqueado por Citrix policy.;Aplicar policy Citrix e registrar evidencia local.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;https://docs.citrix.com/;sh -c 'test -f /etc/vdi-hardening/evidence/citrix-drive-mapping-disabled && echo PASS || echo FAIL';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1304;Audit Citrix session events;Baixa;Citrix e operacao;CMD_EXEC;EVIDENCE;Eventos de sessao Citrix devem ser auditados.;Habilitar logs Citrix VDA/syslog e registrar evidencia local.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;https://man7.org/linux/man-pages/man8/auditd.8.html;"sh -c '(systemctl list-unit-files 2>/dev/null | grep -Eiq \""ctx(vda|logd)\"" && grep -REiq \""ctx|citrix\"" /etc/rsyslog.d /etc/audit/rules.d 2>/dev/null) || test -f /etc/vdi-hardening/evidence/citrix-session-audit; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1305;Session lock apos 15min inatividade;Media;Citrix e operacao;CMD_EXEC;EVIDENCE;Sessao deve bloquear apos 15 minutos.;Aplicar policy Citrix e/ou dconf/gnome idle-delay de 900 segundos.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;;"sh -c 'grep -RE \""idle-delay.*uint32 900|lock-delay.*uint32 0\"" /etc/dconf/db /etc/dconf/profile 2>/dev/null | grep -q . || test -f /etc/vdi-hardening/evidence/session-lock-15min; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1306;Session lock ate reauth;Media;Citrix e operacao;CMD_EXEC;EVIDENCE;Sessao bloqueada deve exigir reautenticacao.;Aplicar policy Citrix/desktop lock que exija reauth e registrar evidencia local.;Baseline Ubuntu 24.04 VDI - Citrix e controles manuais.;;"sh -c 'grep -REiq \""lock-enabled|disable-lock-screen[[:space:]]*=[[:space:]]*false\"" /etc/dconf/db /etc/dconf/profile 2>/dev/null || test -f /etc/vdi-hardening/evidence/session-lock-reauth; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1401;Secrets em .env e arquivos de dev;Alta;Credenciais e home;CMD_EXEC;CMD_EXEC;Arquivos .env docker-compose e shell init nao devem conter secrets ou tokens permanentes.;Remover secrets hardcoded e usar SSO STS vault ou credential helper aprovado.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais de credenciais dev.;;"sh -c 'grep -RIE \""AWS_SECRET_ACCESS_KEY|AWS_ACCESS_KEY_ID|AZURE_CLIENT_SECRET|OCI_.*(KEY|TOKEN|SECRET)|client_secret|private_key|DOCKER_.*PASSWORD|GITHUB_TOKEN|TOKEN=\"" /home/*/.env /home/*/.env.* /home/*/docker-compose.yml /home/*/docker-compose.yaml /home/*/.bashrc /home/*/.profile /home/*/.zshrc 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1402;Python venv sem system-site-packages;Alta;Desenvolvimento;CMD_EXEC;CMD_EXEC;Virtualenvs de usuario nao devem herdar pacotes globais do sistema.;Recriar venvs sem --system-site-packages e manter dependencias por projeto.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais de Python dev.;https://docs.python.org/3/library/venv.html;"sh -c 'find /home -path \""*/pyvenv.cfg\"" -type f -exec grep -H \""include-system-site-packages = true\"" {} + 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1403;Docker socket restrito a grupo aprovado;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Socket Docker rootful concede privilegio equivalente a root e deve ser ausente ou restrito ao grupo aprovado informado para o VDI.;Preferir Docker rootless. Se /var/run/docker.sock existir restringir por ACL/grupo aprovado default vdi-devs e documentar excecao antes do scan.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais de Docker.;https://docs.docker.com/engine/security/#docker-daemon-attack-surface;"sh -c 'test ! -S /var/run/docker.sock && echo PASS && exit 0; stat -c \""%A %G\"" /var/run/docker.sock 2>/dev/null | grep -Eq \""^srw-rw----[[:space:]]+vdi-devs$\"" || getfacl -cp /var/run/docker.sock 2>/dev/null | grep -Eq \""^group:vdi-devs:rw-?$\""; [ $? -eq 0 ] && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1404;Docker rootless ou userns-remap;Alta;Docker e containers;CMD_EXEC;CMD_EXEC;Docker rootful sem user namespace cria risco direto de escalada por containers.;Usar Docker rootless por usuario ou configurar userns-remap no daemon rootful quando ele for aprovado.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais de Docker.;https://docs.docker.com/engine/security/userns-remap/;"sh -c '! systemctl is-enabled docker.service docker.socket 2>/dev/null | grep -q enabled && echo PASS && exit 0; grep -REiq \""userns-remap\"" /etc/docker/daemon.json /etc/docker/daemon.json.d 2>/dev/null && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1405;SSH Agent Forwarding desabilitado;Alta;Credenciais e home;CMD_EXEC;CMD_EXEC;Agent forwarding pode expor chaves SSH para hosts intermediarios e ambientes cloud acessados pelo dev.;Definir ForwardAgent no em /etc/ssh/ssh_config ou drop-in corporativo.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais de credenciais dev.;https://man.openbsd.org/ssh_config;"sh -c 'ssh -G localhost 2>/dev/null | grep -Eiq \""^forwardagent[[:space:]]+no$\"" && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1406;OCI e Azure CLI permissoes 700/600;Alta;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;Diretorios ~/.oci e ~/.azure devem pertencer ao usuario e ter permissoes restritivas.;Corrigir diretorios para 700 e arquivos para 600 em ~/.oci e ~/.azure.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais cloud.;https://learn.microsoft.com/en-us/cli/azure/authenticate-azure-cli;"sh -c 'find /home -mindepth 2 -maxdepth 2 -type d \\( -name .oci -o -name .azure \\) ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL && exit 0; find /home \\( -path \""*/.oci/*\"" -o -path \""*/.azure/*\"" \\) -type f ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
1407;OCI e Azure sem secrets permanentes;Alta;Ferramentas dev/cloud;CMD_EXEC;CMD_EXEC;Arquivos de OCI e Azure nao devem conter client_secret private_key ou tokens permanentes em texto claro.;Usar device login SSO federation STS ou vault corporativo e remover secrets locais.;Baseline Ubuntu 24.04 VDI - Lacunas adicionais cloud.;;"sh -c 'grep -RIE \""client_secret|AZURE_CLIENT_SECRET|private_key|security_token|auth_token\"" /home/*/.oci /home/*/.azure 2>/dev/null | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
